last_name,first_name,middle_init,agency
Erickson,Jeffrey,None,San Bernardino County Superior Court
Ervin,Charles,H,Sierra County Superior Court
Escalante,Kristin,None,Los Angeles County Superior Court
Escobedo,Mildred,None,Los Angeles County Superior Court
Espana,Ana,None,San Diego County Superior Court
Espinoza,Miguel,None,Los Angeles County Superior Court
Esquivel-Pedroza,Rebeca,None,Santa Clara County Superior Court
Estes,Christopher,None,Los Angeles County Superior Court
Estremera,Micael,P.,Santa Clara County Superior Court
Etezadi,Susan,Irene,San Mateo County Superior Court
Eto,Gary,None,Los Angeles County Superior Court
Evangelista,Maria,E,San Francisco County Superior Court
Evans,John,G,Riverside County Superior Court
Evans,Kelly,None,Supreme Court of California
Evenson,Rebekah,B.,Alameda County Superior Court
Exarhos,Herbert,J,San Diego County Superior Court
Eyherabide,Eugenia,None,San Diego County Superior Court
Fagalde,Michael,A,Mariposa County Superior Court
Faherty,Shannon,None,San Bernardino County Superior Court
Fahey,William,F,Los Angeles County Superior Court
Fain,Gregory,T,Fresno County Superior Court
Fall,Timothy,L,Yolo County Superior Court
Falls,Thomas,None,Los Angeles County Superior Court
Fannin,Jill,C,Contra Costa County Superior Court
Fattarsi,Jonathan,William,San Joaquin County Superior Court
Faulder,Keith,None,Mendocino County Superior Court
Federman,Rita,C,San Luis Obispo County Superior Court
Feeney,Jill,None,Los Angeles County Superior Court
Feldstern,Daniel,B,Los Angeles County Superior Court
Feng,Samuel,K,San Francisco County Superior Court
Fenstermacher,Susanne,M,Contra Costa County Superior Court
Ferguson,Jeffrey,M,Orange County Superior Court
Ferguson,Jon,D,San Bernardino County Superior Court
Fernandez,Kenneth,J,Riverside County Superior Court
Ferrall,Brian,L,San Francisco County Superior Court
Ferrari,Philip,None,Sacramento County Superior Court
Ferrentino,Anthony,None,Orange County Superior Court
Feuer,Gail Ruderman,None,"Court of Appeal, Second District"
Fidler,Larry,P,Los Angeles County Superior Court
Fields,David,R,Los Angeles County Superior Court
Fields,Richard,None,"Court of Appeal, Fourth District"
Filer,Kelvin,D,Los Angeles County Superior Court
Fineman,Nancy,None,San Mateo County Superior Court
Finigan,Jeffrey,R,San Mateo County Superior Court
Fiorini,Curtis,M,Sacramento County Superior Court
Firetag,Chad,W,Riverside County Superior Court
Fish,Jonathan,S,Orange County Superior Court
Flanagan,Tara,M,Alameda County Superior Court
Fleming,Eric,R,San Francisco County Superior Court
Flint,Andrea,E,Santa Clara County Superior Court
Flores,Daniel,A,San Francisco County Superior Court
Flores Jr.,Poli,None,Imperial County Superior Court
Flurer,Michele,E,Los Angeles County Superior Court
Flynn,Daniel,E,Shasta County Superior Court
Flynn-Peister,Terri,K,Orange County Superior Court
Foiles,Robert,D.,San Mateo County Superior Court
Folan,Maureen,A,Santa Clara County Superior Court
Foley,Stephen,None,Santa Barbara County Superior Court
Foley,Therese,M.,Kern County Superior Court
Fong,Keith,None,Alameda County Superior Court
Ford III,H. Jay,None,Los Angeles County Superior Court
Franchi,Don,R,San Mateo County Superior Court
Franco,Jose,S,Santa Clara County Superior Court
Frangie,Janet,M,San Bernardino County Superior Court
Frank,Ronald,F,Los Angeles County Superior Court
Frankel,Simon,J.,San Francisco County Superior Court
Franklin,Shauna,Anne,Sacramento County Superior Court
"Franson, Jr.",Donald,R,"Court of Appeal, Fifth District"
Fraser,Jeffrey,F,San Diego County Superior Court
Frazier,Ronald,F,San Diego County Superior Court
Freccero,Stephen,P,Marin County Superior Court
Freeland,Cynthia,A.,San Diego County Superior Court
Freeland,John,D,Stanislaus County Superior Court
Freeman,Kenneth,R,Los Angeles County Superior Court
Freeman Stinn,Josh,R,Los Angeles County Superior Court
Freer,Timothy,F,Riverside County Superior Court
Freestone,Loren,G.,San Diego County Superior Court
Fregoso,Rosa,None,Los Angeles County Superior Court
Freixes,Graciela,L,Los Angeles County Superior Court
Frisco,Chris,J,Los Angeles County Superior Court
Fruin Jr.,Richard,L,Los Angeles County Superior Court
Frye,Michael,S,San Luis Obispo County Superior Court
Fujie,Holly,J,Los Angeles County Superior Court
Fujioka,Margaret,None,Alameda County Superior Court
Fujisaki,Carin,None,"Court of Appeal, First District"
Fuller,Kenneth,None,Los Angeles County Superior Court
Fultz,Robert,Anthony,Tulare County Superior Court
Fusselman,Ian,C,Los Angeles County Superior Court
Gaab,Kimberly,A,Fresno County Superior Court
Gabriel,Lee,L,Orange County Superior Court
Gaffey,Michael,J,Alameda County Superior Court
Gaffney,Donald,F,Orange County Superior Court
Gallon,Stephen,J,Riverside County Superior Court
Galloway,Benjamin,David,Sacramento County Superior Court
Gamoian,Lisa,M,Fresno County Superior Court
Garcia,Damian,None,San Bernardino County Superior Court
Garcia,Lupe,C.,Alameda County Superior Court
Garcia,Michael,None,Los Angeles County Superior Court
Garcia,Patricia,None,San Diego County Superior Court
Garcia,Ruben,None,Los Angeles County Superior Court
Garcia Uhrig,Emily,None,Los Angeles County Superior Court
Garcia-Rodrigo,Candice,None,San Bernardino County Superior Court
Garcia-Sen,Christine,Marie,Santa Clara County Superior Court
Garratt,Stephanie,G,San Mateo County Superior Court
Garrett,Carla,None,Los Angeles County Superior Court
Gary,Matthew,J,Sacramento County Superior Court
Garza,Thomas,S,San Bernardino County Superior Court
Gasdia,Brian,F,Los Angeles County Superior Court
Gastelum,John,C,Orange County Superior Court
Gaston,Marian,None,San Diego County Superior Court
Gauff,Karen,Ackerson,Los Angeles County Superior Court
Gazzaniga,Suzanne,I,Placer County Superior Court
Geck,Donna,D,Santa Barbara County Superior Court
Geffon,Eric,S,Santa Clara County Superior Court
Gelfound,David,B,Los Angeles County Superior Court
George,Stephanie,None,Orange County Superior Court
George,Virginia,None,Contra Costa County Superior Court
Gerard,Jennifer,None,Riverside County Superior Court
